Date,Open,High,Low,Close,Dol
23/05/2007,52209.6,52505.37,51670.09,51812.5,1.9508
24/05/2007,51813.1,51890.65,50214.29,50530.65,1.9692
25/05/2007,50541.22,51632.73,50541.22,51617.97,1.951
28/05/2007,51616.29,52208.88,51616.29,52119.97,1.9422
29/05/2007,52121.28,52544.68,51270.98,51713.18,1.949
30/05/2007,51706.27,52595.31,50606.54,52527.65,1.94
31/05/2007,52535.94,52877.49,52097.89,52268.46,1.9246
01/06/2007,52270.96,53422.67,52270.96,53422.67,1.9049
04/06/2007,53422.98,53422.98,52651.23,53242.68,1.927
05/06/2007,53244.53,53270.61,52672.76,53162.21,1.9457
06/06/2007,53162.18,53162.18,51868.57,52049.31,1.9514
08/06/2007,52044.89,52500.31,50884.5,52329.68,1.9595
11/06/2007,52324.19,52951.86,52183.52,52776.84,1.941
12/06/2007,52775.58,52775.58,51642.61,51797.14,1.946
13/06/2007,51798.6,53226.44,51798.6,52993.73,1.944
14/06/2007,53010.54,53797.61,53008.61,53712.89,1.9256
15/06/2007,53723.06,54725.52,53723.06,54518.63,1.912
18/06/2007,54518.63,54999.98,54354.8,54730.44,1.9048
19/06/2007,54729.91,54797.22,54450.08,54643.72,1.9045
20/06/2007,54643.72,55003.28,54029.24,54029.24,1.9287
21/06/2007,54029.77,54844.21,53910.78,54656.88,1.9159
22/06/2007,54643.61,54643.61,53951.99,54267.1,1.9417
25/06/2007,54270.17,54604.98,53605.11,54041.57,1.9505
26/06/2007,54044.87,54412.76,53841.65,53851.68,1.9535
27/06/2007,53851.68,54163.65,53201.62,54143.07,1.9434
28/06/2007,54153.79,54648.36,54146.59,54146.59,1.9215
29/06/2007,54149.89,54783.04,53958.15,54392.06,1.929
02/07/2007,54396.23,55386.47,54396.23,55371.21,1.915
03/07/2007,55370.54,55782.85,55258.62,55699.69,1.9092
04/07/2007,55698.09,56000.22,55597.71,55696.47,1.91
05/07/2007,55696.47,55932.34,55344.94,55932.34,1.9135
06/07/2007,55931.64,56443.73,55931.64,56443.73,1.902
10/07/2007,56443.73,56543.55,55677.5,55882.7,1.8918
11/07/2007,55881.76,56494.8,55628.28,56356.13,1.8918
12/07/2007,56380.02,57676.24,56377.93,57613.05,1.8731
13/07/2007,57613.11,57982.7,57327.02,57644.16,1.862
16/07/2007,57644.16,57665.69,57035.3,57374.4,1.87
17/07/2007,57375.68,57799,57307.15,57659.65,1.86
18/07/2007,57660.28,57660.28,56903.48,57555.85,1.8595
19/07/2007,57555.85,58292.88,57555.85,58124.57,1.8543
20/07/2007,58125.12,58125.12,57103.13,57442.74,1.8565
23/07/2007,57442.74,58070.06,57442.74,58036.77,1.8417
24/07/2007,58036.27,58056.99,55165.47,55794.57,1.8623
25/07/2007,55797.38,56409.33,54520.01,56001.3,1.866
26/07/2007,55998.13,55998.13,52627.44,53893.15,1.9285
27/07/2007,53893.15,54407.05,52922.23,52922.23,1.8945
30/07/2007,52924.64,54789.55,52924.64,54572.61,1.8759
31/07/2007,54602.05,55662.03,54169.41,54182.5,1.8825
01/08/2007,54170.45,54233.87,53036.04,54233.87,1.882
02/08/2007,54245.44,54959.06,54202.13,54690.92,1.8745
03/08/2007,54696.74,54725.43,52574.67,52846.38,1.8999
06/08/2007,52846.13,53207.13,51317.36,53091.1,1.9063
07/08/2007,53092.14,54112.71,52745.57,53802.48,1.9056
08/08/2007,53803.63,55615.84,53803.63,55241.37,1.884
09/08/2007,55213.46,55213.46,53323.52,53430.84,1.9265
10/08/2007,53430.84,53430.84,51681.78,52638.13,1.9515
13/08/2007,52646.57,53669.66,52201.57,52434.01,1.9422
14/08/2007,52434.24,52944.51,50911.75,50911.75,1.9853
15/08/2007,50911.69,51285.66,49106.44,49285.3,2.0295
16/08/2007,49280.59,49280.59,44937.65,48015.55,2.093
17/08/2007,48025.94,49588.36,46876.8,48558.76,2.0246
20/08/2007,48560.76,49573.92,48560.76,49206.36,2.0287
21/08/2007,49207.84,50064.39,48739.15,49815.08,2.0341
22/08/2007,49815.08,51749.19,49815.08,51744.56,2.011
23/08/2007,51744.56,52350.97,51081.89,51848.23,1.9874
24/08/2007,51844.66,52997.56,51389.55,52997.56,1.9419
27/08/2007,52994.79,53395.84,52502.32,53078.15,1.9497
28/08/2007,53071.76,53071.76,51389.95,51645.33,2.0015
29/08/2007,51647.5,52809.88,51647.07,52734.64,1.9658
30/08/2007,52728.38,53644.79,52223.49,52857.84,1.975
31/08/2007,52873.78,54714.82,52873.78,54637.24,1.9619
03/09/2007,54641.11,54997.63,54519.16,54832.51,1.954
04/09/2007,54833.88,55566.48,54587.92,55250.47,1.9475
05/09/2007,55243.23,55243.23,54155.74,54407.83,1.967
06/09/2007,54413.09,55093.97,54413.09,54569,1.945
10/09/2007,54554.02,54554.02,52320.99,52652.57,1.9455
